【  卫视频道  】,#genre#
厦门卫视,http://223.10.22.26:8082/udp/239.1.1.71:8071
厦门卫视,http://223.10.22.26:8083/udp/239.1.1.71:8071
厦门卫视,http://113.24.136.243:8084/udp/239.1.1.71:8071
厦门卫视,http://113.24.136.243:8083/udp/239.1.1.71:8071
厦门卫视,http://223.10.30.103:8085/udp/239.1.1.71:8071
厦门卫视,http://223.10.14.197:8083/udp/239.1.1.71:8071
厦门卫视,http://223.10.30.103:8083/udp/239.1.1.71:8071
厦门卫视,http://113.24.136.243:8082/udp/239.1.1.71:8071
厦门卫视,http://113.133.233.149:8009/rtp/239.112.205.60:5140
厦门卫视,http://113.133.233.149:8014/rtp/239.112.205.60:5140
厦门卫视,http://110.179.81.164:8082/udp/239.1.1.71:8071
厦门卫视,http://110.179.80.141:8083/udp/239.1.1.71:8071
厦门卫视,http://59.48.75.130:3052/tsfile/live/0129_1.m3u8
厦门卫视,http://110.179.81.153:8083/udp/239.1.1.71:8071
吉林卫视,http://111.225.93.23:8800/hls/51/index.m3u8
吉林卫视,http://171.104.193.220:8181/tsfile/live/0116_1.m3u8
吉林卫视,http://223.240.51.168:4022/rtp/238.1.79.48:4496
吉林卫视,http://60.220.167.202:8083/rtp/226.0.2.58:8376
吉林卫视,http://60.223.72.235:8001/rtp/226.0.2.58:8376
吉林卫视,http://113.24.136.243:8084/udp/239.1.1.30:8030
吉林卫视,http://60.220.167.249:8084/rtp/226.0.2.58:8376
吉林卫视,http://110.179.80.141:8083/udp/239.1.1.30:8030
吉林卫视,http://60.223.72.166:8002/rtp/226.0.2.58:8376
吉林卫视,http://110.179.81.164:8082/udp/239.1.1.30:8030
吉林卫视,http://60.220.167.143:8084/rtp/226.0.2.58:8376
吉林卫视,http://60.220.167.202:8083/rtp/226.0.2.199:9504
吉林卫视,http://180.113.159.91:8800/rtp/239.49.8.187:6000
吉林卫视,http://171.15.152.105:9000/rtp/239.16.10.28:2000
吉林卫视,http://223.215.42.194:4022/rtp/238.1.79.48:4496
吉林卫视W,http://222.218.159.142:8181/tsfile/live/1094_1.m3u8
四川卫视,http://121.24.99.199:8090/hls/58/index.m3u8
四川卫视,http://113.64.145.95:8081/hls/71/index.m3u8
四川卫视,http://111.225.93.23:8800/hls/41/index.m3u8
四川卫视,http://113.111.17.115:8888/udp/239.77.0.163:5146
四川卫视,http://219.128.40.214:8888/udp/239.77.0.163:5146
四川卫视,http://14.115.91.236:6868/udp/239.77.0.163:5146
四川卫视,http://113.65.252.5:3333/udp/239.77.0.163:5146
四川卫视,http://223.240.51.168:4022/rtp/238.1.78.30:6168
四川卫视,http://61.141.138.165:8888/udp/239.77.0.163:5146
四川卫视,http://113.74.172.130:4000/udp/239.77.0.163:5146
四川卫视,http://60.223.72.168:8002/rtp/226.0.2.179:9344
四川卫视,http://60.223.72.166:8002/rtp/226.0.2.179:9344
四川卫视,http://60.220.167.202:8083/rtp/226.0.2.179:9344
四川卫视,http://14.216.233.242:8888/udp/239.77.1.215:5146
四川卫视,http://223.10.22.26:8082/udp/239.1.1.29:8029
四川康巴卫视,http://125.70.93.249:9999/udp/239.93.0.41:5140
四川康巴卫视,http://171.213.36.122:8888/udp/239.93.0.41:5140
四川康巴卫视,http://125.71.122.30:8888/udp/239.93.0.41:5140
四川康巴卫视,http://171.213.36.107:8888/udp/239.93.0.41:5140
四川康巴卫视,http://222.209.51.123:8888/udp/239.93.0.41:5140
四川康巴卫视,http://118.114.96.50:8889/udp/239.93.0.41:5140
四川康巴卫视,http://118.122.103.235:4022/udp/239.93.0.41:5140
四川康巴卫视,http://171.217.146.255:8888/udp/239.93.0.41:5140
四川康巴卫视,http://171.223.215.229:4000/udp/239.93.0.41:5140
四川康巴卫视,http://118.114.168.248:4455/udp/239.93.0.41:5140
四川康巴卫视,http://171.88.21.30:8888/udp/239.93.0.41:5140
四川康巴卫视,http://182.136.166.158:8888/udp/239.93.0.41:5140
四川康巴卫视,http://171.212.150.200:19999/udp/239.93.0.41:5140
四川康巴卫视,http://182.149.106.41:8888/udp/239.93.0.41:5140
四川康巴卫视,http://171.214.225.117:5555/udp/239.93.0.41:5140
大湾区卫视,http://14.216.233.242:8888/udp/239.77.0.215:5146
大湾区卫视,http://223.10.20.94:8084/udp/239.1.1.69:8069
大湾区卫视,http://61.141.138.165:8888/udp/239.77.0.215:5146
大湾区卫视,http://113.111.17.115:8888/udp/239.77.0.215:5146
大湾区卫视,http://113.65.7.195:8888/udp/239.77.0.215:5146
大湾区卫视,http://223.10.22.26:8082/udp/239.1.1.69:8069
大湾区卫视,http://113.65.252.5:3333/udp/239.77.0.215:5146
大湾区卫视,http://223.10.22.26:8083/udp/239.1.1.69:8069
大湾区卫视,http://14.115.91.236:6868/udp/239.77.0.215:5146
大湾区卫视,http://14.121.146.49:554/udp/239.77.0.215:5146
大湾区卫视,http://223.10.30.103:8083/udp/239.1.1.69:8069
大湾区卫视,http://110.179.80.141:8083/udp/239.1.1.69:8069
大湾区卫视,http://183.7.117.51:4022/udp/239.77.0.215:5146
大湾区卫视,http://110.179.81.164:8082/udp/239.1.1.69:8069
大湾区卫视,http://113.74.172.130:4000/udp/239.77.0.215:5146
天津卫视,http://113.64.145.95:8081/hls/48/index.m3u8
天津卫视,http://183.1.251.10:8081/hls/48/index.m3u8
天津卫视,http://111.225.93.23:8800/hls/35/index.m3u8
天津卫视,http://223.240.51.168:4022/rtp/238.1.78.20:6088
天津卫视,http://14.216.233.242:8888/udp/239.77.0.131:5146
天津卫视,http://219.128.40.214:8888/udp/239.77.0.131:5146
天津卫视,http://60.223.72.168:8002/rtp/226.0.2.148:9096
天津卫视,http://27.10.15.209:8004/udp/225.0.4.82:7980
天津卫视,http://61.141.138.165:8888/udp/239.77.0.131:5146
天津卫视,http://113.65.7.195:8888/udp/239.77.0.131:5146
天津卫视,http://113.65.252.5:3333/udp/239.77.1.182:5146
