【  卡通频道  】,#genre#
卡酷少儿_电信,http://1.70.33.100:8085/udp/239.1.1.62:8062
卡酷少儿_电信,http://223.10.24.101:8083/udp/239.1.1.62:8062
卡酷少儿_电信,http://223.10.29.61:8085/udp/239.1.1.62:8062
卡酷少儿_电信,http://113.26.167.245:8083/udp/239.1.1.62:8062
卡酷少儿_电信,http://223.10.23.41:8085/udp/239.1.1.62:8062
卡酷少儿_联通,http://117.9.171.169:8888/udp/225.1.1.58:5002
卡酷少儿_联通,http://221.198.121.108:4000/udp/225.1.1.58:5002
卡酷少儿_联通,http://221.198.174.113:8888/udp/225.1.1.58:5002
卡酷少儿_联通,http://119.165.183.182:8888/udp/239.253.254.66:8000
嘉佳卡通_其他,http://119.23.60.89:8460/udp/239.77.1.15:5146
嘉佳卡通_其他,http://1.70.32.95:8085/udp/239.1.1.68:8068
嘉佳卡通_其他,http://119.23.60.89:8460/udp/239.77.0.13:5146
嘉佳卡通_电信,http://222.89.29.199:808/hls/92/index.m3u8
嘉佳卡通_电信,http://113.67.166.23:8889/udp/239.77.0.179:5146
嘉佳卡通_电信,http://58.63.66.6:8888/udp/239.77.0.179:5146
嘉佳卡通_电信,http://119.23.60.89:8460/udp/239.77.0.179:5146
嘉佳卡通_电信,http://110.188.37.163:55555/udp/239.93.0.246:5140
嘉佳卡通_电信,http://118.114.188.36:8888/udp/239.93.0.246:5140
嘉佳卡通_电信,http://171.214.202.208:4000/udp/239.93.0.246:5140
嘉佳卡通_电信,http://125.70.83.142:55555/udp/239.93.0.246:5140
嘉佳卡通_电信,http://219.145.19.213:5555/rtp/239.112.205.135:5140
嘉佳卡通_电信,http://219.145.19.7:5558/rtp/239.112.205.135:5140
嘉佳卡通_电信,http://1.83.163.40:8888/rtp/239.112.205.135:5140
嘉佳卡通_电信,http://113.67.166.23:8889/udp/239.77.1.15:5146
嘉佳卡通_电信,http://58.63.66.6:8888/udp/239.77.1.15:5146
嘉佳卡通_电信,http://113.133.232.147:8009/rtp/239.112.205.135:5140
嘉佳卡通_电信,http://144.255.40.46:4022/udp/239.21.2.5:5002
嘉佳卡通_电信,http://223.10.24.101:8082/udp/239.1.1.68:8068
嘉佳卡通_移动,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226227/index.m3u8
嘉佳卡通_联通,http://219.156.116.137:808/hls/63/index.m3u8
嘉佳卡通_联通,http://221.221.159.57:8182/rtp/239.3.1.147:9268
嘉佳卡通_联通,http://123.10.76.176:808/hls/66/index.m3u8
嘉佳卡通_联通,http://123.10.78.128:808/hls/66/index.m3u8
嘉佳卡通_联通,http://221.218.212.142:8012/rtp/239.3.1.147:9268
嘉佳卡通_联通,http://123.122.162.5:19999/rtp/239.3.1.147:9268
嘉佳卡通_联通,http://111.196.189.102:5555/rtp/239.3.1.147:9268
嘉佳卡通_联通,http://114.254.219.197:8000/rtp/239.3.1.147:9268
嘉佳卡通_联通,http://123.117.32.124:4000/rtp/239.3.1.147:9268
嘉佳卡通_联通,http://114.254.89.130:8020/rtp/239.3.1.147:9268
嘉佳卡通_联通,http://222.129.98.92:8888/rtp/239.3.1.147:9268
嘉佳卡通_联通,http://123.120.3.252:4022/rtp/239.3.1.147:9268
嘉佳卡通_联通,http://221.15.4.150:8888/rtp/225.1.4.92:1121
嘉佳卡通_联通,http://123.115.195.226:8888/rtp/239.3.1.147:9268
嘉佳卡通_联通,http://111.196.130.206:20000/rtp/239.3.1.147:9268
嘉佳卡通_联通,http://123.113.9.199:8876/rtp/239.3.1.147:9268
宝宝动画_电信,http://125.70.83.142:55555/udp/239.93.0.147:5140
宝宝动画_电信,http://118.114.188.36:8888/udp/239.93.0.147:5140
宝宝动画_电信,http://110.188.37.163:55555/udp/239.93.0.147:5140
少儿动画_电信,http://114.252.234.124:8888/rtp/239.3.1.199:9000
少儿动画_电信,http://125.70.83.142:55555/udp/239.93.0.193:9000
少儿动画_电信,http://125.33.179.15:5555/rtp/239.3.1.199:9000
少儿动画_电信,http://171.214.202.208:4000/udp/239.93.0.193:9000
少儿动画_电信,http://118.114.188.36:8888/udp/239.93.0.193:9000
少儿动画_电信,http://110.188.37.163:55555/udp/239.93.0.193:9000
少儿动画_联通,http://123.10.76.176:808/hls/76/index.m3u8
少儿动画_联通,http://123.10.78.128:808/hls/76/index.m3u8
少儿动画_联通,http://221.221.159.57:8182/rtp/239.3.1.199:9000
少儿动画_联通,http://121.24.98.93:8090/hls/105/index.m3u8
少儿动画_联通,http://114.254.219.197:8000/rtp/239.3.1.199:9000
少儿动画_联通,http://221.218.212.142:8012/rtp/239.3.1.199:9000
少儿动画_联通,http://123.113.9.199:8876/rtp/239.3.1.199:9000
少儿动画_联通,http://123.120.3.252:4022/rtp/239.3.1.199:9000
少儿动画_联通,http://114.254.89.130:8020/rtp/239.3.1.199:9000
少儿动画_联通,http://222.129.98.92:8888/rtp/239.3.1.199:9000
少儿动画_联通,http://123.115.195.226:8888/rtp/239.3.1.199:9000
少儿动画_联通,http://111.196.130.206:20000/rtp/239.3.1.199:9000
少儿动画_联通,http://123.122.162.5:19999/rtp/239.3.1.199:9000
少儿动画_联通,http://123.118.48.192:9000/rtp/239.3.1.199:9000
少儿动画_联通,http://221.15.4.150:8888/rtp/225.1.4.189:1238
少儿动画_联通,http://123.117.32.124:4000/rtp/239.3.1.199:9000
少儿天地_电信,http://118.114.188.36:8888/udp/239.93.42.34:5140
少儿天地_电信,http://171.214.202.208:4000/udp/239.93.42.34:5140
少儿天地_电信,http://125.70.83.142:55555/udp/239.93.42.34:5140
少儿天地_电信,http://110.188.37.163:55555/udp/239.93.42.34:5140
山东少儿_电信,http://182.32.160.10:9997/udp/239.21.1.208:5002
山东少儿_电信,http://144.255.40.46:4022/udp/239.21.1.208:5002
山东少儿_电信,http://144.255.40.46:4022/udp/239.21.1.60:5002
山东少儿_电信,http://182.32.160.10:9997/udp/239.21.1.60:5002
山东少儿_联通,http://119.165.183.182:8888/udp/239.253.254.25:8000
广东少儿_其他,http://119.23.60.89:8460/udp/239.77.0.12:5146
广东少儿_电信,http://222.218.158.222:8181/tsfile/live/1005_1.m3u8
广东少儿_电信,http://58.63.66.6:8888/udp/239.77.0.250:5146
广东少儿_电信,http://113.67.166.23:8889/udp/239.77.0.250:5146
广东少儿_电信,http://119.23.60.89:8460/udp/239.77.0.250:5146
广东少儿_电信,http://58.63.66.6:8888/udp/239.77.0.12:5146
广东少儿_电信,http://113.67.166.23:8889/udp/239.77.0.12:5146
广东少儿_电信,http://119.23.60.89:8460/udp/239.77.0.12:5146
广东少儿_电信,http://113.110.72.121:808/hls/111/index.m3u8
广东少儿_联通,http://119.23.60.89:8460/udp/239.77.0.12:5146
新动漫_联通,http://171.120.69.226:8005/rtp/226.0.2.73:8496
新动漫_联通,http://171.116.210.162:8003/rtp/226.0.2.73:8496
新动漫_联通,http://60.220.167.217:8085/rtp/226.0.2.73:8496
新动漫_联通,http://60.223.72.253:8005/rtp/226.0.2.73:8496
新动漫_联通,http://183.184.173.82:8003/rtp/226.0.2.73:8496
新动漫_联通,http://171.118.213.50:8004/rtp/226.0.2.73:8496
新动漫_联通,http://171.120.111.64:8085/rtp/226.0.2.73:8496
新动漫_联通,http://171.117.202.161:8083/rtp/226.0.2.73:8496
新动漫_联通,http://221.205.201.55:8085/rtp/226.0.2.73:8496
新动漫_联通,http://171.117.181.238:8085/rtp/226.0.2.73:8496
新动漫_联通,http://171.120.69.226:8003/rtp/226.0.2.73:8496
新动漫_联通,http://118.81.201.143:8085/rtp/226.0.2.73:8496
新动漫_联通,http://171.120.111.89:8085/rtp/226.0.2.73:8496
新动漫_联通,http://221.205.202.24:8085/rtp/226.0.2.73:8496
新动漫_联通,http://171.116.211.70:8005/rtp/226.0.2.73:8496
新动漫_联通,http://60.223.72.4:8001/rtp/226.0.2.73:8496
欢乐动漫_联通,http://117.9.171.169:8888/udp/225.1.1.132:5002
欢乐动漫_联通,http://221.198.121.108:4000/udp/225.1.1.132:5002
欢乐动漫_联通,http://221.198.174.113:8888/udp/225.1.1.132:5002
河北少儿科教_联通,http://120.11.62.207:4000/rtp/239.253.92.174:6004
济南少儿_电信,http://182.32.160.10:9997/udp/239.21.1.68:5002
济南少儿_电信,http://144.255.40.46:4022/udp/239.21.1.68:5002
浙江少儿_电信,http://122.246.148.59:9999/rtp/233.50.201.138:5140
浙江少儿_电信,http://125.110.20.152:8044/rtp/233.50.201.138:5140
浙江少儿_电信,http://125.110.44.163:8044/rtp/233.50.201.138:5140
浙江少儿_电信,http://220.185.84.34:4022/rtp/233.50.201.138:5140
浙江少儿_电信,http://125.110.12.187:8044/rtp/233.50.201.138:5140
浙江少儿_电信,http://122.234.76.0:4022/rtp/233.50.201.138:5140
浙江少儿_电信,http://122.233.154.166:4022/rtp/233.50.201.138:5140
深圳少儿_电信,http://113.67.166.23:8889/udp/239.77.1.244:5146
深圳少儿_电信,http://58.63.66.6:8888/udp/239.77.1.244:5146
深圳少儿_电信,http://113.119.193.7:8899/udp/239.77.1.244:5146
深圳少儿_电信,http://119.23.60.89:8460/udp/239.77.1.244:5146
炫动卡通_电信,http://222.89.29.199:808/hls/94/index.m3u8
炫动卡通_电信,http://125.70.83.142:55555/udp/239.93.0.173:5140
炫动卡通_电信,http://171.214.202.208:4000/udp/239.93.0.173:5140
炫动卡通_电信,http://118.114.188.36:8888/udp/239.93.0.173:5140
炫动卡通_电信,http://110.188.37.163:55555/udp/239.93.0.173:5140
熊猫少儿_电信,http://125.70.83.142:55555/udp/239.93.1.189:5140
熊猫少儿_电信,http://118.114.188.36:8888/udp/239.93.1.189:5140
熊猫少儿_电信,http://110.188.37.163:55555/udp/239.93.1.189:5140
爱动漫_电信,http://118.114.188.36:8888/udp/239.93.42.23:5140
爱动漫_电信,http://125.70.83.142:55555/udp/239.93.42.23:5140
爱动漫_电信,http://110.188.37.163:55555/udp/239.93.42.23:5140
重庆少儿_联通,http://27.11.38.238:8004/udp/225.0.4.191:7980
重庆少儿_联通,http://27.10.213.1:8002/udp/225.0.4.191:7980
重庆少儿_联通,http://27.11.40.250:8003/udp/225.0.4.191:7980
